  
       XFOIL         Version 6.97
  
 Calculated polar for: FlexOPRoot                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000   0.1068   0.01038   0.00417  -0.0953   0.8914   0.0244
  -2.000   0.2186   0.00883   0.00250  -0.0951   0.8574   0.0415
  -1.000   0.3282   0.00636   0.00215  -0.0958   0.8209   0.7578
   0.000   0.4309   0.00650   0.00228  -0.0925   0.7811   0.8626
   1.000   0.5378   0.00660   0.00222  -0.0909   0.7372   0.8963
   2.000   0.6385   0.00672   0.00218  -0.0881   0.6772   0.9367
   3.000   0.7513   0.00700   0.00228  -0.0885   0.6123   1.0000
   4.000   0.8635   0.00779   0.00275  -0.0893   0.5263   1.0000
   5.000   0.9664   0.00917   0.00359  -0.0885   0.3911   1.0000
